Ticker,Metric,Filed_Date,Period_End,Value,Form
AAPL,Revenue,2013-10-30,2011-09-24,108249000000.0,10-K
AAPL,Revenue,2013-01-24,2011-12-31,46333000000.0,10-Q
AAPL,Revenue,2013-10-30,2011-12-31,46333000000.0,10-K
AAPL,Revenue,2013-04-24,2012-03-31,85519000000.0,10-Q
AAPL,Revenue,2013-04-24,2012-03-31,39186000000.0,10-Q
AAPL,Revenue,2013-10-30,2012-03-31,39186000000.0,10-K
AAPL,Revenue,2013-07-24,2012-06-30,120542000000.0,10-Q
AAPL,Revenue,2013-07-24,2012-06-30,35023000000.0,10-Q
AAPL,Revenue,2013-10-30,2012-06-30,35023000000.0,10-K
AAPL,Revenue,2013-10-30,2012-09-29,156508000000.0,10-K
AAPL,Revenue,2014-10-27,2012-09-29,156508000000.0,10-K
AAPL,Revenue,2013-10-30,2012-09-29,35966000000.0,10-K
AAPL,Revenue,2013-01-24,2012-12-29,54512000000.0,10-Q
AAPL,Revenue,2013-10-30,2012-12-29,54512000000.0,10-K
AAPL,Revenue,2014-01-28,2012-12-29,54512000000.0,10-Q
AAPL,Revenue,2014-10-27,2012-12-29,54512000000.0,10-K
AAPL,Revenue,2013-04-24,2013-03-30,98115000000.0,10-Q
AAPL,Revenue,2014-04-24,2013-03-30,98115000000.0,10-Q
AAPL,Revenue,2013-04-24,2013-03-30,43603000000.0,10-Q
AAPL,Revenue,2013-10-30,2013-03-30,43603000000.0,10-K
AAPL,Revenue,2014-04-24,2013-03-30,43603000000.0,10-Q
AAPL,Revenue,2014-10-27,2013-03-30,43603000000.0,10-K
AAPL,Revenue,2013-07-24,2013-06-29,133438000000.0,10-Q
AAPL,Revenue,2014-07-23,2013-06-29,133438000000.0,10-Q
AAPL,Revenue,2013-07-24,2013-06-29,35323000000.0,10-Q
AAPL,Revenue,2013-10-30,2013-06-29,35323000000.0,10-K
AAPL,Revenue,2014-07-23,2013-06-29,35323000000.0,10-Q
AAPL,Revenue,2014-10-27,2013-06-29,35323000000.0,10-K
AAPL,Revenue,2013-10-30,2013-09-28,170910000000.0,10-K
AAPL,Revenue,2014-10-27,2013-09-28,170910000000.0,10-K
AAPL,Revenue,2015-10-28,2013-09-28,170910000000.0,10-K
AAPL,Revenue,2013-10-30,2013-09-28,37472000000.0,10-K
AAPL,Revenue,2014-10-27,2013-09-28,37472000000.0,10-K
AAPL,Revenue,2014-01-28,2013-12-28,57594000000.0,10-Q
AAPL,Revenue,2014-10-27,2013-12-28,57594000000.0,10-K
