Ticker,Sector
AAPL,Consumer_Goods
ABB,Industrial_Goods
ABBV,Healthcare
AEP,Utilities
AGFS,Conglomerates
AMGN,Healthcare
AMZN,Services
BA,Industrial_Goods
BABA,Services
BAC,Financial
BBL,Basic_Materials
BCH,Financial
BHP,Basic_Materials
BP,Basic_Materials
BRK-A,Financial
BSAC,Financial
BUD,Consumer_Goods
C,Financial
CAT,Industrial_Goods
CELG,Healthcare
CHL,Technology
CHTR,Services
CMCSA,Services
CODI,Conglomerates
CSCO,Technology
CVX,Basic_Materials
D,Utilities
DHR,Industrial_Goods
DIS,Services
DUK,Utilities
EXC,Utilities
FB,Technology
GD,Industrial_Goods
GE,Industrial_Goods
GOOG,Technology
HD,Services
HON,Industrial_Goods
HRG,Conglomerates
HSBC,Financial
IEP,Conglomerates
INTC,Technology
JNJ,Healthcare
JPM,Financial
KO,Consumer_Goods
LMT,Industrial_Goods
MA,Financial
MCD,Services
MDT,Healthcare
MMM,Industrial_Goods
MO,Consumer_Goods
MRK,Healthcare
MSFT,Technology
NEE,Utilities
NGG,Utilities
NVS,Healthcare
ORCL,Technology
PCG,Utilities
PCLN,Services
PEP,Consumer_Goods
PFE,Healthcare
PG,Consumer_Goods
PICO,Conglomerates
PM,Consumer_Goods
PPL,Utilities
PTR,Basic_Materials
RDS-B,Basic_Materials
REX,Conglomerates
SLB,Basic_Materials
SNP,Basic_Materials
SNY,Healthcare
SO,Utilities
SPLP,Conglomerates
SRE,Utilities
T,Technology
TM,Consumer_Goods
TOT,Basic_Materials
TSM,Technology
UL,Consumer_Goods
UN,Consumer_Goods
UNH,Healthcare
UPS,Services
UTX,Industrial_Goods
V,Financial
VZ,Technology
WFC,Financial
WMT,Services
XOM,Basic_Materials
