FeatureSet,Backend,Model,Accuracy,F1,MCC,AUC
FS4_Price_Fundamentals_HierAttnTweets,VADER,Logistic Regression,0.5419354838709678,0.6001877053026748,0.07991266311806389,0.540458207801704
FS2_Price_Fundamentals,-,Logistic Regression,0.5365591397849462,0.5947343676539727,0.0687870613318987,0.5321453529000698
FS3_Price_HierAttnTweets,VADER,Logistic Regression,0.5274193548387097,0.6047661870503597,0.04879718269986163,0.5473543486007562
FS1_Price,-,Logistic Regression,0.5271505376344086,0.6126403875798282,0.0479254414980849,0.5363714880068122
FS2_Price_Fundamentals,-,MLP,0.5228494623655914,0.6711135816194181,0.047870228930037305,0.5245589327613256
FS4_Price_Fundamentals_HierAttnTweets,FinBERT,LSTM,0.5223118279569893,0.5078925505400166,0.046985214240429965,0.5271680527209704
FS3_Price_HierAttnTweets,USE,Logistic Regression,0.5233870967741936,0.5687180734614449,0.04276265313715705,0.529299487229326
FS4_Price_Fundamentals_HierAttnTweets,USE,LSTM,0.5118279569892473,0.36370007007708477,0.041735887914313784,0.5326302694359986
FS2_Price_Fundamentals,-,LSTM,0.5236559139784946,0.645174209050861,0.040307234290342005,0.5233135953647012
FS4_Price_Fundamentals_HierAttnTweets,USE,Logistic Regression,0.5180107526881721,0.5491576565250189,0.033343952266465124,0.5233887986449526
FS3_Price_HierAttnTweets,FinBERT,LSTM,0.5177419354838709,0.5442073170731707,0.03330012284984213,0.5193983968974597
FS3_Price_HierAttnTweets,FinBERT,Logistic Regression,0.5172043010752688,0.5593719332679097,0.0305673140569566,0.5246669651658405
FS3_Price_HierAttnTweets,USE,LSTM,0.5056451612903226,0.3549631708172571,0.027609815820665462,0.5316777909672762
FS4_Price_Fundamentals_HierAttnTweets,FinBERT,Logistic Regression,0.5153225806451613,0.5575460122699386,0.026761545885805177,0.5199444884094391
FS4_Price_Fundamentals_HierAttnTweets,FinBERT,MLP,0.5169354838709678,0.668266568211187,0.023768528284503706,0.4919745084019419
FS3_Price_HierAttnTweets,FinBERT,MLP,0.5094086021505376,0.5201156981330528,0.01834095368964683,0.5200778296101926
FS1_Price,-,MLP,0.5145161290322581,0.6750629722921915,0.015449089255503316,0.47769456245574576
FS4_Price_Fundamentals_HierAttnTweets,VADER,MLP,0.514247311827957,0.6412547151081993,0.014897306663436609,0.49624938101915483
FS3_Price_HierAttnTweets,VADER,LSTM,0.5091397849462366,0.5567961165048544,0.013646836913756209,0.5177223760997034
FS4_Price_Fundamentals_HierAttnTweets,VADER,LSTM,0.5008064516129033,0.5057226510513708,0.0017661411002113053,0.49671838916887645
FS1_Price,-,LSTM,0.5123655913978494,0.6736236056135301,-0.00038303527079760287,0.48359165660099684
FS4_Price_Fundamentals_HierAttnTweets,USE,MLP,0.4954301075268817,0.40769958977595455,-0.0008759393919644517,0.5114511456352016
FS3_Price_HierAttnTweets,VADER,MLP,0.5037634408602151,0.6549532710280374,-0.027432767214937134,0.5203095135620439
FS3_Price_HierAttnTweets,USE,MLP,0.48736559139784946,0.5572324123519852,-0.03422665277684592,0.5029969953397105
